Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VS,WBA,WMT
2021-10-13,139.67947387695312,194.02142333984375,165.984375,221.77999877929688,182.71559143066406,284.4100036621094,52.5379524230957,101.95217895507812,172.9600067138672,371.7424011230469,326.2565002441406,209.1941680908203,124.98760986328125,49.31690979003906,153.01431274414062,154.929443359375,52.2760124206543,234.6710662841797,166.38832092285156,75.77227783203125,292.2911071777344,153.92222595214844,137.2718505859375,151.439208984375,395.7423400878906,219.9710235595703,49.952999114990234,44.153480529785156,135.68226623535156
2021-10-14,142.5045928955078,197.04212951660156,168.72914123535156,217.44000244140625,187.92803955078125,290.0199890136719,53.52869415283203,102.91692352294922,174.41000366210938,376.447998046875,331.8214111328125,212.11502075195312,127.32291412353516,50.86455154418945,153.88897705078125,157.30628967285156,52.63261795043945,236.50860595703125,169.34666442871094,75.17724609375,298.64373779296875,154.74945068359375,138.8234100341797,151.72972106933594,412.22711181640625,222.66055297851562,51.150001525878906,47.43276596069336,137.1531219482422
2021-10-15,143.5751495361328,198.05221557617188,172.9594268798828,217.0399932861328,192.46356201171875,291.6600036621094,53.14393997192383,103.67361450195312,176.4600067138672,390.7572326660156,337.95538330078125,214.18191528320312,128.4062042236328,51.39301681518555,155.03271484375,160.32789611816406,52.507320404052734,234.2842559814453,170.86805725097656,75.17724609375,300.083984375,155.606201171875,139.17999267578125,150.71295166015625,419.7879333496094,228.40557861328125,49.5,45.70436477661133,137.8199462890625
2021-10-18,145.27023315429688,193.56402587890625,173.9530487060547,216.97999572753906,191.6511993408203,291.70001220703125,53.08622741699219,103.62630462646484,171.13999938964844,398.0899353027344,342.3918762207031,214.09458923339844,126.37281036376953,51.4024543762207,153.8985595703125,160.27015686035156,51.98687744140625,234.2938995361328,170.66143798828125,74.04474639892578,303.1221923828125,157.0045928955078,137.1754608154297,148.04034423828125,416.4046630859375,228.06936645507812,60.0,45.21854782104492,138.927978515625
2021-10-19,147.46090698242188,197.04212951660156,174.43508911132812,215.97000122070312,194.51370239257812,292.3399963378906,53.615264892578125,105.6504135131836,171.17999267578125,396.61761474609375,345.26593017578125,215.2105255126953,126.07091522216797,52.100772857666016,157.50286865234375,162.21400451660156,52.18927001953125,234.78713989257812,171.21554565429688,76.2905502319336,304.0494384765625,155.4191131591797,135.55641174316406,150.47088623046875,416.1693420410156,230.9072723388672,58.5,44.85417938232422,141.87953186035156
2021-10-20,147.95655822753906,199.78651428222656,176.68797302246094,216.1699981689453,197.4632110595703,290.0899963378906,54.0577278137207,107.03134155273438,170.5500030517578,392.5086364746094,345.4974060058594,217.0154266357422,125.9998779296875,52.251766204833984,157.41636657714844,164.39840698242188,52.65188980102539,231.8374481201172,171.31884765625,77.80696105957031,303.2406005859375,156.03952026367188,136.0864715576172,153.66641235351562,426.6721496582031,228.8307647705078,55.79999923706055,45.20921325683594,143.1640625
2021-10-21,148.1746368408203,199.1480712890625,174.59251403808594,214.33999633789062,195.48074340820312,289.80999755859375,53.567161560058594,105.68824768066406,171.33999633789062,392.2199401855469,351.6603088378906,217.86936950683594,113.95040893554688,52.846290588378906,157.05113220214844,163.1089324951172,52.38203048706055,233.46217346191406,171.037109375,77.9029312133789,306.545166015625,159.7127685546875,135.10707092285156,155.11891174316406,433.7230224609375,227.66397094726562,54.900001525878906,45.909908294677734,143.95835876464844
2021-10-22,147.39154052734375,199.3863067626953,184.0467071533203,212.97000122070312,195.11123657226562,292.55999755859375,53.00927734375,106.69084167480469,169.4199981689453,398.6961364746094,352.9815979003906,210.96026611328125,113.55083465576172,46.674591064453125,157.3586883544922,165.30296325683594,52.47840881347656,230.59951782226562,169.79745483398438,77.88373565673828,304.9668273925781,160.99298095703125,136.56161499023438,157.2299041748047,440.4698791503906,228.64288330078125,57.29999923706055,45.77911376953125,145.4586181640625
2021-10-25,147.34197998046875,197.85211181640625,179.35403442382812,212.8699951171875,196.628173828125,293.9200134277344,53.03813171386719,107.68397521972656,172.00999450683594,399.10992431640625,358.06427001953125,211.09609985351562,113.33773040771484,46.627410888671875,157.70469665527344,164.49464416503906,52.26637649536133,229.5356903076172,171.30007934570312,78.37320709228516,303.9507751464844,161.72174072265625,136.5810089111328,156.4649200439453,440.79351806640625,231.26324462890625,63.0,45.98464584350586,147.1452178955078
2021-10-26,148.0160369873047,198.8526611328125,178.01609802246094,209.80999755859375,194.12911987304688,295.1099853515625,53.68259048461914,107.9204330444336,172.0399932861328,401.862060546875,356.0775146484375,211.85304260253906,112.88488006591797,45.5610466003418,159.309814453125,164.93728637695312,52.4976806640625,228.6459503173828,171.07467651367188,78.93946838378906,305.9039001464844,161.29827880859375,138.5203857421875,155.35130310058594,445.8438720703125,229.22628784179688,61.95000076293945,45.134464263916016,145.8606414794922
